"wkt","typ"
"LINESTRING (16.6661241946306 49.2007667004201,16.6663394614035 49.2017420941192,16.6664616912127 49.2023080601295,16.6665621609947 49.2028715479797)","_Vyhrazeny pruh"
"LINESTRING (16.6670327121246 49.2050068985356,16.6668999699926 49.2050313064491,16.6665691244643 49.2051770052654,16.6664545430693 49.2052243179079,16.66619577455 49.2053702313243,16.6657338505471 49.2056417393981,16.6654724532233 49.2057974988614,16.6653040034735 49.2058922141107,16.6649372463972 49.2061138595268,16.664565436164 49.2063531446989,16.6645106123525 49.2063906476705,16.6643767843959 49.2064962128592,16.6642133976565 49.206656511899,16.6641418769704 49.2067341997,16.6640495325045 49.2068402355035,16.6639632821715 49.2069469839054,16.6639194046654 49.2070075927738,16.663873325764 49.2070772272611,16.6638326924982 49.2071506520295,16.6638001096538 49.207217260881,16.6637791711562 49.207267463645,16.6637478898888 49.2073455213709,16.6637138046272 49.2074495036577,16.6636875492199 49.2075356757809,16.6636565637323 49.2076718659066,16.6636247280124 49.2078767079788,16.6635803340358 49.2081722822597,16.6635312126637 49.2084790705784,16.6634974685996 49.2086832105442,16.663458035769 49.2088771072998,16.6634181478846 49.2090297071267,16.6633780410671 49.2091660127299,16.6633414301423 49.2092668833637,16.6633082549276 49.2093441453319,16.6632571125791 49.2094446561689,16.663170173725 49.2095767206142,16.6630488161702 49.2097372176412,16.662946845598 49.2098534599494,16.6627380973366 49.2100606200694,16.6626355849388 49.2101484307562,16.6625104277916 49.2102509004396,16.6622518501392 49.2104014192264,16.661947388717 49.2105467321805,16.6614505391333 49.2107471339586,16.6612353854852 49.2108196545796,16.6609655123273 49.2108937944165,16.6605873366446 49.2109799983139,16.6603018434264 49.2110295656226,16.6599678352677 49.2110719321192,16.659673209844 49.2110996548198,16.6594409404621 49.2111135937591,16.6591041689337 49.2111269913201,16.6589495569538 49.2111289805334,16.6587459586072 49.2111301715431,16.6585503814619 49.2111247337923,16.6583278751317 49.211114371474,16.6579762276603 49.2110881034561,16.6576225648464 49.2110529851192,16.6573676917669 49.2110180061058,16.6570611470775 49.2109668955101,16.6567600043616 49.210905753418,16.6564529615571 49.2108330269345,16.6560738727408 49.210730997486,16.6555646108396 49.2105630131736,16.6548596040832 49.2103125763705,16.6541232757736 49.2100526389851,16.6535894721215 49.2098793677598,16.6531864024409 49.2097856001,16.6528911615248 49.2097409021237,16.6524693213246 49.2096830672462,16.6518862559371 49.2096138724713,16.6514087372768 49.2095422692912,16.6509362612594 49.2094660985,16.6504201623482 49.2093615446646,16.6502131238836 49.2093089949801,16.6498356481047 49.2091966319673,16.6495820458252 49.2090944031706,16.6490342680316 49.2088364697515,16.6482486719662 49.2083410356061,16.6478996961259 49.2081139795314,16.6475607126223 49.2079044980667,16.6472945814772 49.2077479537249,16.6470385751812 49.2076343012637,16.646275919765 49.2073260552656,16.6459170222564 49.207224829287,16.6453762484054 49.2070812526498,16.6448787495094 49.2069224472683,16.6429212986054 49.2060501310638,16.6423797243948 49.2057940046718,16.6418618896615 49.2057525548713)","_Vyhrazeny pruh"
"LINESTRING (16.6685361616822 49.2013042955617,16.6687557840218 49.2009141517316,16.6687863634656 49.2008682607169,16.6688359038145 49.2008323395479,16.6688957092042 49.2008041573939,16.6689898330985 49.2007827065746,16.6691012157642 49.2007740746451,16.6697883919672 49.2007654418455,16.6702640755856 49.2007643379769,16.6719279784006 49.2007243586885,16.6741668674678 49.2006590413901,16.6753403880319 49.2006054707744,16.6763263537786 49.2005427613363,16.6773349750945 49.2004649017385,16.6775747073449 49.200442066426,16.6779635937414 49.2004050115677,16.6783849601396 49.2003620048952,16.6790390909176 49.2002959390288,16.6795769831144 49.2002430285513,16.6799608712403 49.2002025124544,16.6812466621466 49.200069187102,16.6815416219011 49.2000334879908,16.6818587797492 49.1999892256438,16.6822549007834 49.1999305337555,16.682546746478 49.1998811191209,16.6827362153457 49.1998482678249,16.6828227700578 49.1998403091902,16.6828822912279 49.1998415183865,16.682947993042 49.1998477494998,16.6830117465266 49.199860860933,16.6830891551379 49.1998735813514,16.6831780374717 49.1998841382798,16.6832609425686 49.1998859090407,16.6833828785423 49.1998807032629,16.6835140048329 49.1998696650692,16.6838406637093 49.1998340260406,16.6841744333591 49.1998002346088,16.6845143827796 49.1997639071586,16.6846713790287 49.1997533337632,16.6847815793175 49.1997518910638,16.6848840001494 49.1997577290948,16.6849713263894 49.1997652066593,16.6850908502539 49.1997873584433,16.6852511811043 49.1998269475792,16.6853789818107 49.1998715407877,16.6855119179438 49.1999351164679,16.6856354618136 49.2000158455401,16.6857171087983 49.2000858079004,16.6857909190055 49.2001684448143,16.6858598595428 49.2002682826929,16.6859978598245 49.2004873985546,16.6861911619663 49.2008016163694,16.6863971348921 49.2011315664824,16.6865854379813 49.201433557464,16.6867131033805 49.2016403417401,16.6868536425713 49.2018666511945,16.6869647716118 49.2020460958324,16.6869970770611 49.2020928936081,16.6870279410897 49.2021258259918,16.6870621351281 49.2021560232127,16.6871116137217 49.2021859432336,16.6871473624008 49.2022041045529,16.6872068745855 49.2022255522329,16.687348963131 49.2022608892825,16.6878316963465 49.2023803884658,16.6880767316225 49.202446256652,16.6882498938151 49.202476657829,16.6883875519164 49.2024918452121,16.6885175477598 49.2024970908658,16.6888419695961 49.2025007604024,16.6897403430121 49.2025206176134,16.6906770810902 49.2025420515808,16.6918720524175 49.2025666470628,16.6931706852466 49.2025949010097,16.6942067260189 49.2026203360623)","_Vyhrazeny pruh"
"LINESTRING (16.6942230608248 49.2025595516503,16.6941902359184 49.2026765994911,16.6941368024168 49.2028927432989,16.6941092866423 49.2029953656965,16.6940790850678 49.2031428839987,16.6940758117743 49.2032198231535,16.69407543802 49.2032712426767,16.694081323225 49.203374823197,16.6940945055945 49.2035668707467,16.694097421758 49.2037144975362,16.6941010854121 49.2038704744073,16.694105265068 49.2041163791371,16.6941056658239 49.2042768293305,16.6941055298574 49.2044922832767,16.694106219223 49.2046173501915,16.6941057946325 49.2047569982891)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6965621767426 49.1924768144147,16.6965998968016 49.1925392012665,16.6966785173661 49.1926832824687,16.6967379821484 49.1928025110278,16.69682266865 49.1929934841748,16.6968564723507 49.1930850531832,16.6968988411272 49.1932120726518,16.6969439439813 49.1933831230779,16.6969761411793 49.1935505031626,16.6970021847125 49.1937193881074,16.6970138789497 49.1938908631269,16.6970195009759 49.1940400620687,16.6970198771298 49.1941877870328,16.6970152720058 49.1943686302069,16.6969998910114 49.1945896534333,16.6969440429758 49.1950147295438,16.6968991850017 49.195235346667,16.6968414119834 49.1954730370442,16.6967790252293 49.1956846813129,16.696697941626 49.195915206364,16.6966059527277 49.1961582434658,16.6965094331863 49.1964031757619,16.6964318987303 49.1966015885425,16.6963857378689 49.1967189465654,16.6963543033478 49.1967977843241,16.6962920743993 49.1969541217448,16.6962262366452 49.1971041212859,16.6962003372952 49.1971567943599,16.6961509348197 49.1972526278015,16.6960454557917 49.1974295825787,16.6959709889541 49.1975341698429,16.6958225428725 49.197732591471,16.6956461418167 49.1979445428123,16.6954128875956 49.1982177845609,16.6953470250568 49.1982980815541,16.6952674843614 49.1984143445886,16.6951729720485 49.1985525152199,16.6951190239423 49.1986852311584,16.6950765132648 49.1988681199705,16.6950371130625 49.1990371207142,16.694986833661 49.1992598471348,16.6949325481114 49.1994941861332,16.6948545822648 49.1998399906324,16.6947813174672 49.2001595720073,16.6947089756142 49.2004786648935,16.6946366306684 49.2007900130524,16.6945829220458 49.2010207968303,16.6945158603142 49.2013101115138,16.6944038561512 49.2017945911298,16.6942922338525 49.202266374384,16.6942230608248 49.2025595516503)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6771102806636 49.204909633724,16.6771148954206 49.2048173526632,16.6771160595318 49.2047462059403,16.6771119747674 49.2046217697901,16.6771072318757 49.204458669555,16.6770779050808 49.2043284556507,16.677007532629 49.204128993249,16.6768984476742 49.2039589599044,16.6768399370361 49.2038934456916,16.6765706028825 49.2036200583598,16.6763133377126 49.2034199863386,16.6760598503103 49.2032576116567,16.6758512397309 49.2031508461139,16.6756891181311 49.2030773822286,16.6755145915495 49.2030050490079,16.6749750325669 49.202851119142)","_stezka_C8_C9_C10"
"LINESTRING (16.685608025836 49.2093571954933,16.685603493443 49.2090344806433,16.685602781204 49.2088754588811,16.6855973988037 49.2081676947641,16.6855941483281 49.2076942161089,16.6855938152128 49.2075632259495,16.6855929011177 49.207435790736,16.6855910189759 49.2073168619865,16.6855887027349 49.2072561256103,16.6855854411679 49.2072076313,16.6855768986552 49.2071139584122,16.6855813654846 49.2070633786813,16.6856151120087 49.206911130794,16.6857062249721 49.2067100783879,16.6861294827135 49.2061556085512,16.6863046847471 49.2059256044936,16.6863870240202 49.2058143821657,16.6864414951306 49.2057471191605,16.6864623608772 49.2057330937647,16.6864883545623 49.2057238535895,16.6865203108906 49.205719457188,16.6865621790521 49.2057138199668,16.6866175516529 49.2057107896484,16.6867163581359 49.2057080403119,16.6876376353209 49.2057043466849,16.6876572944073 49.2056977044511,16.6876751195528 49.2056867846928,16.6876904700149 49.2056729254292,16.6877008275168 49.2056612052768,16.687708218885 49.2056495536647,16.6877089173967 49.2056349432696,16.6876784534425 49.2054364259303,16.6876572992362 49.2053010714376,16.6876359440963 49.2051669475014,16.6876454607013 49.2050027660081,16.6877842523485 49.2042333408244,16.6878249606552 49.2040461773424,16.6878382761298 49.2039801760018,16.687874449154 49.2039228310712,16.6883083925866 49.2031385663468,16.6885044209802 49.2027861078176,16.6885484784873 49.2026921141593,16.688581952183 49.2025879740268,16.6885868114738 49.2024978743845)","_Zona30_pesi_obytna"
"LINESTRING (16.6874210077948 49.2094033021108,16.6879474548686 49.2094006729455,16.6900548458645 49.2093945318553,16.6904976388921 49.2093948764411,16.6913284214155 49.2093937929442,16.6914708353254 49.2093877345606,16.6916177786262 49.2093720362659,16.6922084535434 49.2092914663121,16.6935720791555 49.2091024341521,16.6940209778301 49.2090343225019,16.6943591102765 49.2089775315013,16.6945981928433 49.2089301172371,16.6948828388229 49.2088673638826,16.6950732407533 49.2088336859381,16.6951950044767 49.2088170486335,16.6953634499933 49.2087859805386,16.6954085962306 49.2087706124898,16.6954594785661 49.208745965735,16.6954985692738 49.2087185566027,16.6956632885099 49.2085781268008)","_Zona30_pesi_obytna"
"LINESTRING (16.6941057946325 49.2047569982891,16.6941052005225 49.2048286882817,16.6941248238078 49.2049113528643,16.6941924169967 49.2050865909709,16.6942612531116 49.2052574383146,16.6943453183145 49.2054911809216,16.6943675972311 49.2055760982003,16.6944230659867 49.2058336699465,16.6944633981201 49.2060245638987,16.6945836354984 49.2065310587551,16.6947279972886 49.2071249237369)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6662907367561 49.2024381219793,16.6666592947113 49.2024188056179,16.6667881424401 49.2024216673106,16.6669397395938 49.2024461074414,16.6689021732759 49.2028789624118,16.6715312885461 49.2034654244825,16.6716080339816 49.2034911416362,16.6716801561208 49.2035258341182,16.6717525733212 49.2035715699068,16.671809676445 49.2036241518066,16.671997496281 49.2039411633322,16.6720370019895 49.204004908722,16.672064374304 49.2040368002325,16.6721089348483 49.2040664551784,16.6721671391334 49.2040898354058,16.6721992300569 49.2040993243633,16.6722392838963 49.2041083395755,16.6737076091466 49.2044226754449,16.6738427131461 49.2044580028665,16.673909381901 49.2044874881764,16.673960606948 49.2045213995928,16.6739866237683 49.2045680068922,16.6739980159855 49.2046011861946,16.6740000908816 49.2046302662666,16.6740028513685 49.2046680059039,16.6740107729299 49.2051046434376,16.674016307517 49.2063825019643)","_Zona30_pesi_obytna"
"LINESTRING (16.6688086190978 49.20285832805,16.6689028585982 49.2026679540863,16.6691005711294 49.2022925412878,16.6692423065294 49.2020366252264,16.6694791822686 49.2020825990887,16.6697379888424 49.2020333044694,16.6697833297445 49.2019548953141,16.6698524020028 49.2019248998666,16.6699725581889 49.201741430451)","_stezka_C8_C9_C10"
"LINESTRING (16.673251211566 49.2063901858938,16.6732737912151 49.2073462464684,16.673270800808 49.2077242489531,16.6732991579006 49.2080135177022,16.6733444994113 49.2081861759066,16.6734651064404 49.2085349725583,16.6735632331922 49.2087705857951,16.6736537023681 49.2089502034865,16.6737136285711 49.20904982814,16.6737865296655 49.2091569090076,16.6741090602743 49.2096115164093,16.6742203450505 49.2097500752231,16.6744723671842 49.2100290302809,16.6745291643999 49.2100867553937,16.6746527294851 49.2101894721978,16.6748554446121 49.2103418392552,16.6755283809725 49.2108400009826,16.6760534438394 49.2112041126875,16.6761455141205 49.211280848026,16.6762713483796 49.2114050781741,16.6763801798607 49.2115143358127,16.6764495466398 49.2115980876437,16.6764936491727 49.2116659424414,16.6765213030197 49.2117443534356,16.6765373917073 49.2118195410008,16.6765535694446 49.2119391693904,16.6765448244009 49.2121693394507,16.6765522824954 49.2122249758898,16.6765771181516 49.2122659878742,16.6766302842182 49.2122945224258,16.6766751717504 49.2123093862997,16.6767238101564 49.212314179955,16.67710544839 49.2123146306839)","_Zona30_pesi_obytna"
"LINESTRING (16.67710544839 49.2123146306839,16.6774876529706 49.212313225426,16.6777240151978 49.2123146671372,16.6789596451172 49.2123142800742,16.6800239717793 49.2123116712956,16.6802301586955 49.2122195374781,16.6809124183528 49.2122115911817)","_Zona30_pesi_obytna"
"LINESTRING (16.6425611046273 49.1882655376974,16.6413734470636 49.1885210324551,16.6413114459512 49.1885241491216,16.6411776134063 49.1885542322605,16.6411063078473 49.1885963926366,16.6390580151684 49.1890167524048,16.6385785750459 49.1891231074041,16.6383848662489 49.1891263221609,16.6382039296362 49.1891558215505)","ostatni_pomocne"
"LINESTRING (16.6356462143023 49.189511222102,16.6354769820818 49.1895443967901,16.6351747683279 49.1896132195835,16.6348131876242 49.1896930916971,16.6344771592064 49.1897709783239)","ostatni_pomocne"
"LINESTRING (16.640720642964 49.1852536216956,16.6403139697287 49.1852083819355,16.6394316694541 49.1851057962558,16.6382113317074 49.1849624574904,16.6371955011515 49.1848442254429,16.6371382885732 49.1848294205406,16.6370881614309 49.1848066763177,16.6370480505011 49.1847821419335,16.6370075484815 49.1847487958063)","_Zona30_pesi_obytna"
"LINESTRING (16.6423338276778 49.1778640028885,16.6424156073171 49.1779242881887,16.6425707049478 49.1780781046603,16.642637624122 49.1781217530002,16.642705661407 49.1781529930793,16.6427779777392 49.1781805736748,16.643004798743 49.1782423962193,16.6431392937553 49.17827290069,16.6433490074748 49.1783048673956,16.6435930121932 49.1783224876662,16.6438068853141 49.1783351687484,16.6440498100279 49.178348521537,16.6444796345242 49.1783740282128,16.6446346061278 49.1783870297476,16.6447586687077 49.178402672805,16.6449967212445 49.1784411745894)","ostatni_pomocne"
"LINESTRING (16.640390978197 49.1771261671377,16.6403625665045 49.1771231460371,16.6403086042983 49.1771189919271,16.640245492637 49.177119358954,16.6400736656206 49.1771258295863,16.6399620095548 49.1771210468187,16.6389797522255 49.1775848698317,16.6367003662176 49.1776122451582,16.6366755468397 49.177693363795,16.6355226575243 49.1777174030327,16.634880224018 49.1773653285613,16.6345956854059 49.177203991431,16.6343991060015 49.1770957166603,16.6343393635308 49.1770312119881)","ostatni_pomocne"
"LINESTRING (16.5837522214753 49.1730683368555,16.5839058287438 49.1730295706865,16.5840030980896 49.1730323523841,16.5849533414831 49.1729862236319,16.5854488597655 49.1729573717562,16.5855566043547 49.1730111938857,16.5863716477244 49.1729692228747,16.5867080035488 49.1729528231877,16.5870094099782 49.1729666661166,16.5876066068246 49.1729329740213,16.5879644974052 49.1729070771338,16.5881737407069 49.1729253915177,16.5889616004529 49.1728809539913,16.5890559674447 49.1728345724813,16.5895099274191 49.1728134415899,16.5900537191356 49.172786211343,16.5904175937652 49.1727663032715,16.5905901245106 49.1727556805632,16.5906106890613 49.17292164619)","_stezka_C8_C9_C10"
"LINESTRING (16.5790121149591 49.1658397320249,16.5789643618808 49.1661283306379,16.5789417281755 49.1662397175972,16.5789476087685 49.1663565784569,16.5789921208376 49.1664114212128,16.5790343945977 49.1664543915423,16.579146325459 49.1665367684033,16.5791955674927 49.1665916030852,16.5792184922719 49.1666276845839,16.5792337334575 49.1666752770381,16.5792390618571 49.1667542030844,16.579224986267 49.166871022023,16.5791744568962 49.1671637004419,16.5791643980236 49.167275293104,16.5791562033275 49.1675089728544,16.5791551503801 49.1677693430364,16.5791463559073 49.1681145994278,16.5791401385606 49.1681616986398,16.579137402674 49.168360799595,16.5791415607602 49.1686849292496,16.5791688680679 49.1688818613649,16.5791942599524 49.1690903703142,16.579195271179 49.1691128350193,16.5791896445043 49.1691341384563,16.579173629354 49.1691832966269,16.5791779971532 49.1692966046929,16.5791968618706 49.1693413543415,16.5791970962878 49.1693432119043)","ostatni_pomocne"
"LINESTRING (16.5264197437961 49.1635559245475,16.5289862344815 49.1622619374558,16.5301536939682 49.1616584145267,16.530279331221 49.1616315150355,16.5304866338087 49.1616540462643,16.5307470406289 49.1617265270827,16.5310066651041 49.1618037126264,16.5315598614073 49.1619956723926,16.5317544418923 49.1620476900861,16.5326176013637 49.1622559685469,16.5341135214474 49.1626076735221,16.5355041631764 49.1629210606158,16.5359121615812 49.1630059183796,16.5362347252859 49.1630538978169,16.5364142665739 49.1630755307194,16.537060279469 49.1631393185223,16.5372439548269 49.1631495255874,16.5374187614613 49.1631459128497,16.5375714562991 49.1631275332178,16.5379390468439 49.1630659213587,16.5388954704276 49.1629116346292,16.5390437497004 49.1628929373858,16.5391550294222 49.1628818493959,16.5392935577131 49.1628814998303,16.539562789282 49.1628875657813,16.5399899322074 49.1628975966236,16.5403155462366 49.1629003669942,16.5405844963347 49.1628946902907,16.5407771997435 49.1628908870323,16.540885109655 49.1629000667008,16.5410183021335 49.1629183787929,16.541447178302 49.1630120339139,16.5416596298282 49.1630506612496,16.5419034219406 49.1630754133143,16.542070843149 49.1630624755635,16.5423885092352 49.1630324416027,16.542654207024 49.1630060174062,16.5428735540632 49.1629762797735,16.5430918133474 49.1629127687514,16.5431982704252 49.1628500568686,16.5433188073486 49.1627429358733,16.54403423181 49.1619093369642,16.5442912192779 49.1616328693072,16.5444808057849 49.1614797729079,16.5446487005353 49.1613866565053,16.5448814138559 49.1613032992749,16.5460932240664 49.1609489202758,16.5463439822308 49.1608745409516,16.5465010590055 49.1607927356162,16.5470064170691 49.1605065390702,16.5471823999179 49.1604150961092,16.5474858250519 49.1603093170451,16.547841737357 49.1602102166539,16.5481346054575 49.1601007519343,16.5484119798179 49.1599769948538,16.5486345897488 49.1599006005191,16.5489297404166 49.1598715057689,16.5500537964204 49.1598569271959,16.5502984619807 49.1598897821927,16.5506003745985 49.1599779995282,16.5522771867092 49.1605181810261,16.5525006741511 49.1606315585294,16.5528510138727 49.1608283397576,16.5531371893026 49.1610820688669,16.5533740743417 49.1613502246467,16.5537117451789 49.1618588733735,16.5539679972726 49.1622694149333,16.5541719675594 49.1625711111484,16.5543996145975 49.1628950065046,16.5546669172579 49.1631448196166,16.5549804173107 49.1633517818243,16.5553415331598 49.1635544498474,16.555750528035 49.1637041312692,16.5560447482323 49.1637917830367,16.5573393837299 49.1640687441966,16.5579127851496 49.1642030255997,16.5581475900118 49.1642622795951,16.5585291397477 49.1644125559729,16.5586912753563 49.1645189789598,16.5588922801474 49.1646973944111,16.5590299995159 49.16486563383,16.5591502832007 49.1650209764843,16.5592647151259 49.1651854273344)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.687676465789 49.176799912694,16.6900106076216 49.1757288271298)","_Zona30_pesi_obytna"
"LINESTRING (16.6661261794091 49.1873920270648,16.66605976169 49.1874192747764,16.6660226842289 49.1874338891022,16.6659698739859 49.1874418851106,16.665926658897 49.1874426336092,16.6658774706378 49.1874381393735,16.6658410681479 49.1874293778125,16.6654792076613 49.1872451203236,16.6653993265943 49.1871905861534,16.6653146086575 49.1871174551406,16.665162142152 49.1869413854595,16.6647251044353 49.186410818534,16.6644135245335 49.1860447749291,16.6643117967929 49.1859118874202,16.6642786372018 49.1858640848771,16.6642552115042 49.1857825212031,16.6642506349363 49.1857077954358,16.6642622365534 49.1856369639204,16.6642766938426 49.1855711558382,16.6643019460569 49.1855164413066,16.6643294021287 49.1854739380236,16.6643688658573 49.1854222904017,16.6644383383375 49.1853510535749,16.664522838128 49.1852843188741,16.6646391248282 49.1852063870975,16.6647452729645 49.1851518540409,16.6648550718703 49.1851103228802,16.6650072119264 49.1850669487501,16.6651545791504 49.1850366725599,16.6654915397821 49.1849846023423,16.6655576139749 49.1849758177536,16.6656075276883 49.1849662404512,16.6656645031491 49.1849504430416,16.6657186961352 49.1849323830539,16.6660587601792 49.1847971701566,16.6661206673987 49.1847622772375,16.6661630904615 49.1847328631579,16.6661986511523 49.1846954078039,16.6662365538044 49.1846436498786,16.666359952501 49.1844677013412,16.6664022394633 49.1843955842301,16.6664202129331 49.1843500021981,16.6664260529389 49.1843014997016,16.6664244907685 49.1842500651697,16.6663465860564 49.1839845160864,16.6662601056195 49.1836718612942,16.6662253329456 49.1835860413733)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6425611046273 49.1882655376974,16.6429444838684 49.1882095716586,16.6442166922492 49.187940736409,16.6450615134173 49.1877629939631,16.6461722576832 49.1875371749497,16.6467428515273 49.1874227517199,16.6474575985259 49.1872785333238,16.6477725955117 49.1872132516283,16.6478429006543 49.1871851403613,16.6488402419476 49.186998492656,16.6493686083278 49.1868883136906,16.6507908139211 49.1865976062387,16.6511562847103 49.1865096943969,16.6512860796016 49.1864713070018,16.6513740565254 49.1864251492626,16.651416355521 49.1863723270601,16.6515319969359 49.1863737611972,16.6516640087448 49.1863506862603,16.6517935178669 49.1863236456369,16.6518715340204 49.1862709295389,16.6519439748312 49.1862970479514,16.6520210969098 49.1863138511727,16.6521083578664 49.1863169013153,16.6522466536823 49.1863035692676,16.6523510918549 49.186281994841,16.6525022632744 49.1862382234513,16.6526513341195 49.1862008487149,16.6528882126586 49.186150371951,16.6530738834098 49.1861269435001,16.6532714690249 49.1860981540241,16.6537006299793 49.1860095560445,16.6543982822941 49.1858699487635,16.6545376475029 49.1858308544837,16.6552855852854 49.1856761841914,16.65545112598 49.1856441000716,16.6562490081707 49.185486053375,16.6567646397133 49.1853795959527,16.6572410311423 49.1852832898126,16.6573751928755 49.1852534708672,16.6574139801408 49.1852348461057,16.6574538541957 49.1851935632027,16.6576694747736 49.1851508805025,16.6576986182224 49.1851622337591,16.6577272421821 49.1851735504176,16.6577770005376 49.185182566534,16.6578272635314 49.1851836954836,16.6579020056556 49.1851717365657,16.6583013754592 49.1850932528141,16.6588861844374 49.1849718519167,16.6591181327021 49.1849241161756,16.6592607792215 49.1848874006106,16.6595592589366 49.1848248870365,16.6600503357565 49.1847254706067,16.660550205543 49.1846252934855,16.6611826895364 49.1844982824796,16.6618659278398 49.1843629573361,16.6621854041381 49.184300537705,16.6626614137202 49.1842272627327,16.6637606780231 49.1840094333698,16.6644094681709 49.183876253534,16.6645279612575 49.1838586256249,16.6651175652626 49.1837435209943,16.6652260833874 49.1837201560221,16.6654066373975 49.1836814573795,16.6659504064646 49.183577166807,16.6662569149456 49.1835221574338,16.6669293004099 49.1833902138428,16.6675535733607 49.1832780666461,16.6677019370132 49.183253263147,16.6677563733048 49.1832417244894,16.6677914861198 49.1832272366114,16.6678316397997 49.1832017096676,16.6678472458793 49.1831755157082,16.6678824813547 49.1831281802634,16.6682718332851 49.183101648583,16.6682949747053 49.1831318931085,16.6683339024988 49.1831558289758,16.6683757425509 49.1831767900591,16.6684256058433 49.1831882466865,16.6684899152724 49.1831880009644,16.6685700411362 49.1831750893859,16.6687552125192 49.1831451896195,16.6688057226448 49.1831378787931,16.6691027614161 49.1831196892364,16.6693275919779 49.1831290112897,16.6699696249507 49.183081163256,16.6700063766923 49.1830739441677,16.6700316991603 49.1830550575535,16.6700559530129 49.1830278817621,16.6700638520788 49.1829969060662,16.6702308924779 49.1829863964256,16.6702346863705 49.1829977919084,16.6702434316902 49.183013510137,16.6702614246151 49.1830319984711,16.6702840275899 49.1830494861721,16.6703070317583 49.1830595829718,16.6703442672195 49.1830592869727,16.6705577632832 49.183046479579,16.6714443151487 49.1829938266461,16.6725058970192 49.1829312158891,16.6732867885938 49.1828894030195,16.6738971867915 49.1828520280611,16.6740990495725 49.1828386614365,16.6741385260376 49.1828345472531,16.67418807938 49.1828231923903,16.6742859602322 49.182788207968,16.6744496374327 49.1827265823184,16.6747558320023 49.182609129694,16.6748872638904 49.1825531197735,16.6749576511552 49.1826225864448)","ostatni_pomocne"
"LINESTRING (16.6763167241621 49.1850324126984,16.6765657569839 49.1850227325983,16.6767771828281 49.1850151995453,16.6769320181088 49.1850098899203,16.6770363856673 49.185007923082,16.6772054317958 49.1850249678458,16.6773919660057 49.1850330796765,16.6775542042156 49.1850307005476,16.677734978521 49.1850210121471,16.6779394099298 49.1850016185437,16.6783264901398 49.1849530330583,16.6786629717152 49.1849198367281,16.6793214231537 49.1848875561683,16.6862858475181 49.1847835445747,16.6920258655466 49.1849016244425,16.692463039916 49.1848621170627)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6965621767426 49.1924768144147,16.6965392040004 49.1924456093368,16.6965128053282 49.1924185895802,16.696477539643 49.1923890122512,16.6964306804182 49.1923580691994,16.6963934516482 49.1923405241922,16.6963510037231 49.1923109966255,16.6963371912095 49.1922663274274,16.6963407195696 49.1922084909212,16.6963347695358 49.1921466710396,16.696322175021 49.1920893640816,16.696276175941 49.1919962485794,16.6960519191652 49.1916248366944,16.69554284502 49.1907851082838,16.6953235189545 49.190422337464,16.6950461909805 49.1899650550916,16.69469395721 49.1893772251004,16.6942743236225 49.1886801169078,16.6939382960633 49.1881172062183,16.6936792207883 49.1876775172092,16.6934529246231 49.1872774654449,16.6931712257855 49.1867489238415,16.693011703619 49.1864452428026,16.6928568267518 49.1861505997637,16.6926721864614 49.1858082316118,16.6924608052847 49.1854047971108,16.6923534240436 49.1851992270654,16.6922347128808 49.1849689131505,16.6921777367809 49.1848425057771,16.6921273853998 49.1847250416868,16.6920681763476 49.1845677422476,16.691988285279 49.1843390427586,16.6919133811536 49.1840698890628,16.6918852688641 49.1839598136423,16.6918440889874 49.1837465470669,16.6918233083189 49.1834875482906,16.6918155887639 49.1833020646574,16.6918297084967 49.1830025901463,16.6918570336077 49.1827856495752,16.6918903199131 49.1826139053864,16.6919316491832 49.182415169462,16.6919502431499 49.1822789592842,16.691959887659 49.1821381470043,16.6919701932727 49.1820180479866,16.6919757020798 49.181954578965,16.6920021541038 49.181668687527,16.6920200416904 49.1814402216695,16.6920309405398 49.1812941981653,16.692043115236 49.1811106398023,16.6920509948731 49.1809930202326,16.6920608539498 49.180793931762,16.6920613427088 49.1805581514716,16.6920620879856 49.1803207994037,16.6920610214549 49.1801490303802,16.6920581060727 49.179879626309,16.6920535073073 49.1797382620964,16.6920411910157 49.1795851520627,16.6920089095816 49.1794183242954,16.6919727682751 49.1792584028624,16.6919270633782 49.1790877420867,16.6918540618949 49.1788664138752,16.6917548497008 49.1785976738235,16.6916829678287 49.1783992105154,16.6915604243277 49.1780604737271,16.6914613304113 49.177795980831,16.6914153288499 49.1776915389256,16.6913980925818 49.1776069642378)","_obsluzna komunikace(spolecny provoz)"
