"WKT","Nehody_Brn","Nehody_B_1","Nehody_B_2","Nehody_B_3","Nehody_B_4","Nehody_B_5","Nehody_B_6","Nehody_B_7","Nehody_B_8","Nehody_B_9","Nehody__10","Nehody__11","Nehody__12","Nehody__13","Nehody__14","Nehody__15","F06_csv_Te","F06_csv_Le"
"POINT (16.579415957 49.2449534410001)","60206171790.00000000000","2017/08/24","Čtvrtek","Noc","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Pod vlivem alkoholu","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.57941595650","49.24495344120","0","0"
"POINT (16.6145999130001 49.1917212550001)","60206171780.00000000000","2017/08/23","Středa","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","V blízkosti přechodu pro chodce","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","2000","16.61459991330","49.19172125480","0","1"
"POINT (16.654389458 49.185768013)","60206171755.00000000000","2017/08/19","Sobota","Den","Srážka s vozidlem zaparkovaným, odstaveným","Řidičem nemotorového vozidla","Pod vlivem alkoholu","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","2000","16.65438945830","49.18576801270","0","1"
"POINT (16.5538745710001 49.218454938)","60206171747.00000000000","2017/08/18","Pátek","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Přechod pro chodce","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.55387457100","49.21845493840","0","1"
"POINT (16.664280004 49.214268137)","60206171749.00000000000","2017/08/18","Pátek","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.66428000450","49.21426813650","0","1"
"POINT (16.628791709 49.188768769)","60206171733.00000000000","2017/08/16","Středa","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Nezjišťováno","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","5000","16.62879170950","49.18876876930","0","1"
"POINT (16.6129518770001 49.191089257)","60206171734.00000000000","2017/08/16","Středa","Den","Havárie","Technickou závadou vozidla","Nezjišťováno","0","Neztížené","Zastávka autobusu, trolejbusu, tramvaje s nástup. ostrůvkem","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.61295187750","49.19108925650","0","1"
"POINT (16.625498597 49.186527739)","60206171739.00000000000","2017/08/16","Středa","Den","Srážka s vozidlem zaparkovaným, odstaveným","Řidičem nemotorového vozidla","Pod vlivem drog","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","0","16.62549859660","49.18652773940","0","1"
"POINT (16.576373247 49.2319689830001)","60206171682.00000000000","2017/08/09","Středa","Noc","Havárie","Řidičem nemotorového vozidla","Nezjišťováno","0","Neztížené","Zastávka autobusu, trolejbusu, tramvaje s nástup. ostrůvkem","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.57637324740","49.23196898300","0","1"
"POINT (16.5951529340001 49.1910626820001)","60206171689.00000000000","2017/08/09","Středa","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","0","Neztížené","V blízkosti přechodu pro chodce","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","30000","16.59515293370","49.19106268170","1","0"
"POINT (16.524576478 49.1971476460001)","60206171692.00000000000","2017/08/09","Středa","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ano","10000","16.52457647840","49.19714764600","0","2"
"POINT (16.5928344450001 49.236555788)","60206171774.00000000000","2017/08/08","Úterý","Den","Srážka s domácím zvířetem","Lesní zvěří, domácim zvířetem","Nezjišťováno","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.59283444550","49.23655578800","0","1"
"POINT (16.6165091840001 49.196806452)","60206171668.00000000000","2017/08/06","Neděle","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Na počátku deště, slabý déšť, mrholení apod","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ano","3000","16.61650918440","49.19680645190","0","1"
"POINT (16.530176215 49.2288919470001)","60206171659.00000000000","2017/08/05","Sobota","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","3000","16.53017621550","49.22889194710","0","1"
"POINT (16.594588946 49.209444568)","60206171655.00000000000","2017/08/04","Pátek","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.59458894590","49.20944456800","0","1"
"POINT (16.652972435 49.221406723)","60206171633.00000000000","2017/08/01","Úterý","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Zastávka autobusu, trolejbusu, tramvaje bez nástup. ostrůvku","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ano","0","16.65297243530","49.22140672290","0","1"
"POINT (16.638894356 49.2010441250001)","60206171634.00000000000","2017/08/01","Úterý","Den","Srážka s chodcem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","15000","16.63889435580","49.20104412490","0","1"
"POINT (16.579335949 49.1724181100001)","60206171628.00000000000","2017/07/31","Pondělí","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","5000","16.57933594900","49.17241810960","0","1"
"POINT (16.5724618250001 49.2060399330001)","60206171619.00000000000","2017/07/29","Sobota","Noc","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","5000","16.57246182460","49.20603993340","1","1"
"POINT (16.608058326 49.196107361)","60206171589.00000000000","2017/07/25","Úterý","Den","Havárie","Řidičem nemotorového vozidla","Nezjišťováno","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromá organizace","Ne","2000","16.60805832630","49.19610736080","1","0"
"POINT (16.55280221 49.21201667)","60206171580.00000000000","2017/07/23","Neděle","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ano","1000","16.55280221030","49.21201667030","0","1"
"POINT (16.644831013 49.195263707)","60206171572.00000000000","2017/07/21","Pátek","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","V blízkosti přechodu pro chodce","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","5000","16.64483101270","49.19526370700","0","1"
"POINT (16.625771081 49.1549646760001)","60206171557.00000000000","2017/07/19","Středa","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","0","16.62577108050","49.15496467610","0","1"
"POINT (16.518961532 49.218387164)","60206171548.00000000000","2017/07/18","Úterý","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","2000","16.51896153230","49.21838716390","0","1"
"POINT (16.6683875260001 49.205854656)","60206171492.00000000000","2017/07/09","Neděle","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","2000","16.66838752590","49.20585465570","0","1"
"POINT (16.517982547 49.198027847)","60206171419.00000000000","2017/06/27","Úterý","Noc","Havárie","Řidičem nemotorového vozidla","Pod vlivem alkoholu","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","5000","16.51798254660","49.19802784710","0","1"
"POINT (16.575936389 49.2133221140001)","60206171407.00000000000","2017/06/26","Pondělí","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.57593638900","49.21332211420","0","1"
"POINT (16.527324187 49.237518492)","60206171397.00000000000","2017/06/25","Neděle","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","15000","16.52732418680","49.23751849220","0","1"
"POINT (16.604277074 49.1941996190001)","60206171387.00000000000","2017/06/24","Sobota","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","5000","16.60427707400","49.19419961890","0","1"
"POINT (16.670095094 49.216319088)","60206171380.00000000000","2017/06/23","Pátek","Noc","Havárie","Řidičem nemotorového vozidla","Pod vlivem alkoholu","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.67009509410","49.21631908850","1","0"
"POINT (16.649458006 49.1954596090001)","60206171359.00000000000","2017/06/22","Čtvrtek","Noc","Srážka s pevnou překážkou","Řidičem nemotorového vozidla","Ne","0","Neztížené","V blízkosti přechodu pro chodce","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","2000","16.64945800570","49.19545960900","0","1"
"POINT (16.590844299 49.242864345)","60206171346.00000000000","2017/06/20","Úterý","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","0","16.59084429950","49.24286434480","0","1"
"POINT (16.612306195 49.196742547)","60206171315.00000000000","2017/06/18","Neděle","Noc","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Jiné","Ne","5000","16.61230619480","49.19674254660","0","2"
"POINT (16.652396918 49.19392946)","60206171296.00000000000","2017/06/15","Čtvrtek","Den","Havárie","Řidičem nemotorového vozidla","Pod vlivem alkoholu","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.65239691850","49.19392946050","0","1"
"POINT (16.613980085 49.1948614180001)","60206171262.00000000000","2017/06/12","Pondělí","Noc","Havárie","Řidičem nemotorového vozidla","Pod vlivem alkoholu","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.61398008500","49.19486141850","0","1"
"POINT (16.5998969770001 49.2284602780001)","60206171252.00000000000","2017/06/11","Neděle","Den","Srážka s vozidlem zaparkovaným, odstaveným","Řidičem nemotorového vozidla","Nezjišťováno","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","5000","16.59989697700","49.22846027770","0","1"
"POINT (16.523626554 49.234656343)","60206171246.00000000000","2017/06/10","Sobota","Noc","Havárie","Řidičem nemotorového vozidla","Pod vlivem alkoholu","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","2000","16.52362655430","49.23465634300","0","1"
"POINT (16.519102881 49.2040451030001)","60206171203.00000000000","2017/06/04","Neděle","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.51910288080","49.20404510280","0","1"
"POINT (16.6044848060001 49.207611457)","60206171193.00000000000","2017/06/03","Sobota","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Přechod pro chodce","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.60448480580","49.20761145720","0","2"
"POINT (16.5854385750001 49.238319034)","60206171148.00000000000","2017/05/30","Úterý","Den","Srážka s chodcem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Přechod pro chodce","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","2000","16.58543857510","49.23831903430","0","2"
"POINT (16.5950097250001 49.2235461860001)","60206171157.00000000000","2017/05/30","Úterý","Den","Srážka s chodcem","Chodcem","Pod vlivem alkoholu","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","0","16.59500972460","49.22354618590","0","1"
"POINT (16.5787063940001 49.162246586)","60206171108.00000000000","2017/05/25","Čtvrtek","Den","Srážka s domácím zvířetem","Lesní zvěří, domácim zvířetem","Nezjišťováno","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.57870639420","49.16224658550","0","1"
"POINT (16.6060446920001 49.2778790300001)","60206171055.00000000000","2017/05/20","Sobota","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","10000","16.60604469250","49.27787903020","0","1"
"POINT (16.638067232 49.198801035)","60206171034.00000000000","2017/05/18","Čtvrtek","Den","Srážka s jedoucím nekolejovým vozidlem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.63806723180","49.19880103510","0","1"
"POINT (16.5868014230001 49.1993952820001)","60206171001.00000000000","2017/05/15","Pondělí","Den","Srážka s pevnou překážkou","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ano","0","16.58680142250","49.19939528220","1","0"
"POINT (16.630792189 49.2880967850001)","60206170968.00000000000","2017/05/13","Sobota","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.63079218880","49.28809678470","0","1"
"POINT (16.643375001 49.194794717)","60206170962.00000000000","2017/05/12","Pátek","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Přechod pro chodce","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.64337500060","49.19479471680","0","1"
"POINT (16.6071682890001 49.1982617410001)","60206170914.00000000000","2017/05/06","Sobota","Den","Srážka s vozidlem zaparkovaným, odstaveným","Řidičem nemotorového vozidla","Pod vlivem alkoholu","0","Neztížené","Parkoviště přiléhající ke komunikaci","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.60716828910","49.19826174130","0","0"
"POINT (16.6734814380001 49.2044174690001)","60206170750.00000000000","2017/04/15","Sobota","Noc","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","0","16.67348143800","49.20441746930","0","1"
"POINT (16.557151108 49.210289489)","60206170699.00000000000","2017/04/09","Neděle","Den","Jiný druh nehody","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.55715110820","49.21028948860","0","1"
"POINT (16.597493925 49.209138485)","60206170692.00000000000","2017/04/08","Sobota","Den","Havárie","Řidičem nemotorového vozidla","Pod vlivem alkoholu","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ano","5000","16.59749392500","49.20913848500","0","1"
"POINT (16.6212432450001 49.180075512)","60206170623.00000000000","2017/03/30","Čtvrtek","Den","Srážka s chodcem","Řidičem nemotorového vozidla","Ne","0","Neztížené","Přechod pro chodce","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","5000","16.62124324500","49.18007551250","0","1"
"POINT (16.6121642 49.1969175610001)","60206170615.00000000000","2017/03/29","Středa","Den","Havárie","Řidičem nemotorového vozidla","Ne","0","Neztížené","Žádné nebo žádné z uvedených","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.61216419980","49.19691756120","0","1"
"POINT (16.619350663 49.18746393)","60206170599.00000000000","2017/03/27","Pondělí","Noc","Srážka s vozidlem zaparkovaným, odstaveným","Řidičem nemotorového vozidla","Ne","0","Neztížené","V blízkosti přechodu pro chodce","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.61935066280","49.18746393000","0","1"
"POINT (16.579817151 49.2122110380001)","60206170569.00000000000","2017/03/23","Čtvrtek","Den","Srážka s vozidlem zaparkovaným, odstaveným","Řidičem nemotorového vozidla","Ne","0","Neztížené","Parkoviště přiléhající ke komunikaci","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","10000","16.57981715120","49.21221103830","0","1"
"POINT (16.607503493 49.2017668990001)","60206170063.00000000000","2017/01/11","Středa","Den","Srážka s chodcem","Chodcem","Ne","0","Neztížené","Parkoviště přiléhající ke komunikaci","Jízdní kolo","Soukromé, nevyužívané k výdělečné činnosti","Ne","1000","16.60750349270","49.20176689870","0","1"
