"wkt","typ","delka"
"MULTILINESTRING ((16.6574029571832 49.1381116793446,16.6574055956974 49.1381124107493,16.6574243153283 49.1381154399544,16.6575158163567 49.1381277862535,16.6576016098238 49.138139362877,16.6577190177787 49.1381554375452,16.6579221923391 49.1381832538906,16.6579459078028 49.1381865004485,16.6579731236135 49.1381890793821,16.6579828905176 49.138189370889,16.6580279996249 49.1381878198911,16.6580484583661 49.1381875528065,16.6580629374124 49.1381884469328,16.6580780453302 49.1381902988772,16.6581226217475 49.1381971523435,16.6581275242214 49.1381979058595,16.6581774657569 49.1382055834212,16.6582177107973 49.1382153847735,16.658278113174 49.1382317262663,16.6583278739927 49.138242982554,16.6583329436255 49.1382441295188,16.6584194770758 49.1382598258467,16.6585102155569 49.1382780434602,16.6585291133914 49.1382826198749,16.6587120742653 49.1383269231632,16.6587289209411 49.1383310031242,16.6587482657589 49.1383356869819,16.6587724805313 49.1383418618628,16.6588184681008 49.138355739818,16.6588338266927 49.1383610281126,16.6588437848123 49.1383649589241,16.6588438547398 49.1383649864644,16.6588913798952 49.1383837436959,16.6589255228953 49.1383989654675,16.6589737331688 49.1384204589508,16.6591191210692 49.138485275717,16.6592095580103 49.1385255940757,16.6593126063109 49.1385722794782,16.6593620497512 49.1385946791192,16.6594484414534 49.1386332198033,16.6594991667495 49.138653608716,16.6595176795794 49.1386616154868,16.6595942405665 49.1386978894044,16.6596105730352 49.1387057424773,16.6596577826494 49.1387256221283,16.6598158155493 49.138786549189,16.6600014748835 49.1388486462148,16.6601002919048 49.1388810979042,16.6601799250271 49.1389095655303,16.6603536213269 49.1389848737573,16.6604424763644 49.1390243740623,16.6604659468541 49.1390355781324,16.6604796197906 49.1390421049437,16.6605563435575 49.1390810124723,16.6606345270876 49.1391233059268,16.6606927663379 49.1391577632187,16.6607947889327 49.1392171120133,16.6608269859024 49.1392344851284,16.6608483622721 49.1392445294637,16.6609006217168 49.1392702896155,16.6609141526877 49.13927807167,16.6609645902844 49.1393088225153,16.6610429000084 49.1393613718104,16.6610752698835 49.1393825737534,16.6611686162955 49.1394398645448,16.6611974037364 49.1394572676965,16.6612902153012 49.1395138948087))","stezka pro chodce a cyklisty (nedělená) - C9","329.89799837900"
"MULTILINESTRING ((16.6617792834861 49.1401869093944,16.6617847678481 49.1401963121633,16.6617909949411 49.1402028197087,16.661946493741 49.1403381454688,16.6620351274784 49.1404169083414,16.6621827195288 49.1405452912587,16.6623059028877 49.1406527620358,16.6623597747663 49.1406992561019,16.6623783579798 49.1407166010585,16.66239670851 49.1407353676695,16.6624193757046 49.140760868949,16.6624374820355 49.1407835616841,16.6624534023909 49.1408062270211,16.6624634189709 49.1408224130646))","stezka pro chodce a cyklisty (nedělená) - C9","86.72284461080"
"MULTILINESTRING ((16.675107907597 49.1641998109374,16.675121407676 49.1642564984118,16.6751842854529 49.1645205438036,16.6752210113335 49.1646747658206,16.6752526424108 49.1647849743431,16.6753126368902 49.1649940001856,16.6755071589197 49.1654744725982,16.6756972141617 49.1658042080204,16.675893752416 49.1661164912909,16.6759175736124 49.166145125671,16.6762936550966 49.1665971988415,16.6764498630657 49.1667849674601,16.6764520439937 49.1667875889172))","stezka pro chodce a cyklisty (nedělená) - C9","306.63644096500"
"MULTILINESTRING ((16.6769454201207 49.1670329299267,16.6773434913476 49.1675013032768))","stezka pro chodce a cyklisty (nedělená) - C9","59.62667798240"
"MULTILINESTRING ((16.6775896457124 49.1677723483476,16.6779328587013 49.1681813945988,16.6781628884336 49.1684678093108,16.6782647565069 49.1685182978896,16.6784186013803 49.1687127142216,16.6784456852134 49.1687809886946))","stezka pro chodce a cyklisty (nedělená) - C9","129.42659956200"
"MULTILINESTRING ((16.6787541729396 49.1691378159689,16.6788992464576 49.1693131939527,16.6790702592694 49.1695199279411,16.6792412748701 49.1697266617658,16.6793328181524 49.1698373257003,16.679417567681 49.1699337669425,16.679599941253 49.1701412980939,16.6796195078918 49.1701635638771,16.6797823177146 49.1703488290466,16.6799646943384 49.1705563596091,16.6799801090299 49.1705739019863,16.6801710960514 49.1707655786313,16.6803326033373 49.1709276670874,16.6803797183467 49.1709749522603,16.6804288018957 49.1710242116569,16.680599539569 49.1711851121479,16.6808228059585 49.1713955135075,16.680911205421 49.1714788180872,16.6809468332158 49.1715123927825,16.6810564313304 49.1716066429089,16.6812916588515 49.1718089242747,16.6818211539845 49.1722453604216,16.6821152087179 49.1724877291081,16.6827143798764 49.1729650167369))","stezka pro chodce a cyklisty (nedělená) - C9","515.64138240700"
"MULTILINESTRING ((16.6871874829041 49.2073043600855,16.6872826633294 49.207269943455,16.6874534758334 49.2072118378083,16.6877471460044 49.2071119392011,16.6879511785392 49.2070425310124,16.6880403477661 49.2070148911862,16.6882031475578 49.2069644281209,16.6883313409467 49.2069313710764,16.6884355844221 49.2069044897556,16.6885815789014 49.2068734885408,16.6886190503535 49.2068679281432,16.6887537365594 49.2068479395893,16.6889019711268 49.2068338019385,16.6889291462991 49.2068312101903,16.6890867333558 49.2068196518406,16.6891145449258 49.2068187832318,16.6891821134988 49.2068166727196,16.689182518703 49.2068166595336,16.6891825590089 49.2068166578382,16.6893624077458 49.2068110384397,16.6895404231906 49.2068138448461,16.6897164966071 49.2068234786102,16.690107542659 49.2068716098212,16.6910088564269 49.2070086945747,16.6911841823255 49.2070347335124,16.6913247707442 49.2070511921035,16.6916224706877 49.2070868950221,16.6917943343592 49.2071020184805,16.6919454576383 49.2071063725094,16.6921435486706 49.2071054271621,16.6923002602705 49.2070932332823,16.6923318692422 49.207090774285,16.6925525603887 49.20707061158,16.6927634226864 49.2070370971726,16.6929834463938 49.2069998844068,16.6932563263353 49.2069441281272,16.69384848101 49.2068257363073,16.6939237714827 49.2068117144571,16.6940749816202 49.20678355283))","jízdní pruh pro cyklisty - V14","521.34539206800"
"MULTILINESTRING ((16.6404450645868 49.2059518157603,16.6389736186532 49.2062958745635))","jízda cyklistů v protisměru - E12","113.83536491000"
"MULTILINESTRING ((16.6696080006528 49.1819657066471,16.6699331909077 49.181781995155,16.6705125653828 49.1814546805687,16.6712037068364 49.181071281735))","piktogramový koridor pro cyklisty - V20","153.05113984700"
"MULTILINESTRING ((16.6717935497124 49.1807440686051,16.6717607462708 49.1807622660168,16.6705125653828 49.1814546805687,16.6699353509246 49.1817807759723,16.6699331909077 49.181781995155,16.6698231475462 49.1818441627048,16.6696080006528 49.1819657066471,16.6695058860037 49.182023393988,16.6693594478069 49.182103414451))","jízdní pruh pro cyklisty - V14","233.10416072800"
