"WKT","id","prac_clk","vik_clk"
"LINESTRING ((16.5188254979523 49.2354610688757,16.5187314808128 49.236100410166,16.5186770713844 49.2363253813831,16.5185999039616 49.2364127609959,16.5184104584865 49.2365421284209,16.5175507968021 49.2370193745478,16.5165002980077 49.2376028855036,16.5163207109911 49.2377123670803,16.5162055611852 49.2378097448828,16.5159808056819 49.2380635341006,16.5158053099789 49.2383086559761,16.5151720894149 49.2392754578933,16.5150989604132 49.2393639030364,16.51505254771 49.2394136531772,16.5149629203214 49.2394814315145,16.51489907231 49.2395220810744,16.5146256257608 49.2396941691326,16.5143624422488 49.2398680771695,16.5140258127315 49.2400958233272,16.5137325586704 49.2403057242918,16.5136381691356 49.2404242352898,16.5136156987632 49.2404953117444,16.513614498658 49.240571222417,16.5136249564574 49.2406143163608,16.5136737660228 49.2406972823062,16.5137316333234 49.2407657265277,16.5138203085725 49.2408240923878,16.5139314894903 49.2408665837201,16.5140177927701 49.2408889477932,16.5142483842649 49.24094592443,16.5144536329808 49.2410065677332,16.5145550618771 49.241049382268,16.5145983250255 49.2410757378742,16.5146758217974 49.241140240867,16.5147263491909 49.2412077246423,16.51495351085 49.2416452324795,16.5150587275204 49.2419035248415,16.5150916157728 49.2420050704306,16.5150999127976 49.2420741798205,16.5150749728153 49.2422847064519,16.5148848752394 49.2429149072207,16.5147920609094 49.2430627691235,16.5146808605963 49.2431866991632,16.5145619261107 49.2432882741664,16.5143938196273 49.2433847901978,16.5139797373212 49.2435426465095,16.513547975304 49.2437072321951))","341","50","150"
"LINESTRING ((16.5274136352433 49.2375474903118,16.5274572853079 49.2375825616795,16.5275278840147 49.2376172440936,16.5276527136593 49.2376574321989,16.5279054415711 49.2377194921896,16.5290066211331 49.2379495289525,16.529779556549 49.2381053716499,16.5298987684879 49.2381336129458,16.5299916643858 49.2381556310549,16.5300522813553 49.2381757037185,16.530141583962 49.2382134761501,16.5301879622497 49.2382394059083,16.5302421656116 49.2382805493453,16.5302743070938 49.2383181257754,16.530343889081 49.2384261322118,16.5303704327377 49.2384939741853,16.5303832428333 49.2385538691976,16.5304042116787 49.2386700702298,16.5304309785655 49.2389213794461,16.5304404694555 49.2390384788111,16.530427878301 49.2392532336846,16.5304124714136 49.2394749335893,16.5303690720458 49.2399913390681,16.5303178477181 49.2405289859636,16.530253214646 49.2411180504198))","307","25","0"
"LINESTRING ((16.5286654131035 49.2345515400959,16.5281842940795 49.2355596882971,16.5278615579439 49.236232609281,16.5276260972379 49.2367242473646,16.5274490182675 49.2370894359278,16.5273839183579 49.2372464506528,16.5273574168641 49.2373290721963,16.5273507965987 49.2373772208974,16.5273518533943 49.2374217483335,16.5273726234822 49.2374880658635,16.527391976182 49.2375204682245,16.5274136352433 49.2375474903118))","306","25","30"
"LINESTRING ((16.53703149412 49.2227661316133,16.5369896468954 49.2229867557794,16.5369033568522 49.2231715494563,16.5367495468236 49.2234383597871,16.5366988426265 49.2235404836187,16.536636210137 49.223663646269,16.5365167300606 49.2239623080733,16.5364394313128 49.2242130098889,16.5364009630723 49.2243497941409,16.5363789801074 49.2243996946202,16.5363100738935 49.2245936904377,16.5362495313823 49.2247316566388,16.5361736971428 49.2248768525449,16.5360427593163 49.2250601749305,16.5359843239357 49.2251390411665,16.5358800289665 49.2252643832548,16.5357870617497 49.2253656584514,16.5356886742823 49.225464646709,16.5356275600032 49.2255206162919,16.5354860662499 49.2256445668324,16.5351891769662 49.2258988014189,16.5351427057602 49.2259439669616,16.5350830742688 49.226009269082,16.5350555673831 49.2260428178212,16.5350530884584 49.2260458429417,16.535038384638 49.2260669547483,16.535013672244 49.2261075237455,16.5348842926147 49.2263170992557,16.5348525270235 49.226366843365,16.534828387599 49.2264064582348,16.5347657320736 49.2265147835083,16.5347406221743 49.2265544194848,16.534565443586 49.2268355318033,16.5345031655965 49.2269302246936,16.5341457882568 49.2275831297634,16.5338531600143 49.2280695128977,16.5338124131782 49.2281234093987,16.5337607588593 49.2281805971047,16.532940190464 49.228980503838,16.5328551969841 49.2290752915767,16.5326730024874 49.2292850714593,16.5318202081486 49.2303452725635,16.5317392643441 49.2304571746294,16.531689481521 49.2305486890662,16.5311678519625 49.2313977246741,16.53105161762 49.2315912311035,16.5308977062431 49.2318176853153,16.5306926585898 49.232064184516,16.5305427218725 49.2322203643064,16.5302515643663 49.2325119076753,16.5298298325443 49.2329511537679,16.5291988612999 49.233600593767,16.5291115325848 49.233710952756,16.5290654656965 49.2337743279753,16.5290254254478 49.233834696583,16.5288623353072 49.2341484195853,16.5286654131035 49.2345515400959))","304","30","30"
"LINESTRING ((16.53703149412 49.2227661316133,16.5366085128984 49.2227476733676,16.5363030000938 49.2227237659341))","301","14","0"
"LINESTRING ((16.5363030000938 49.2227237659341,16.5361433214786 49.2227094126374,16.5360619534601 49.2232569854833,16.5359223738137 49.224129935423,16.5358883219809 49.2243111789962,16.5358471821992 49.2244653212984,16.5357403643337 49.2247350993367,16.5356806241273 49.2248499109692,16.5356093853462 49.2249524941944,16.5354494676491 49.2251462740679,16.5353483010664 49.2252543174254,16.5351217299095 49.2254534750527,16.5349779175144 49.2255736772091,16.5348819411291 49.2256390236832,16.5347672592591 49.225700500668,16.5346569896115 49.2257470957435,16.5336103159373 49.2261371788397,16.5332653725997 49.2262459455128,16.532996083442 49.2263036717151,16.5325827106472 49.2262604621453,16.5324118429893 49.2263339027511,16.5322669501433 49.2263538504563))","302","25","25"
"LINESTRING ((16.5322669501433 49.2263538504563,16.5313429640712 49.2263164804412))","310","25","25"
"LINESTRING ((16.5322669501433 49.2263538504563,16.5323404071984 49.2263979077486,16.5325008291957 49.2264447431923,16.5327126059413 49.2266127551503,16.5324907391617 49.2268426754448,16.5325443570123 49.2268690319426,16.5318879209269 49.2275393644631,16.5313474700201 49.2281352149317,16.5312233997405 49.2282605878426,16.5309735579086 49.228475118515,16.5308004767608 49.228589569973,16.5304964896245 49.2287701063328,16.5303682150257 49.2288336656463,16.5303387605058 49.2288156391469))","311","10","10"
"LINESTRING ((16.5313429640712 49.2263164804412,16.5313149726167 49.2264844525346,16.5312285220729 49.2268134244614,16.5311242373588 49.2271366890296,16.5310577725318 49.2273133992379,16.5310419814001 49.2273725163256,16.5309351759084 49.2277465292703,16.5309050926912 49.2278284154952,16.530865646234 49.2279333327325,16.5308334053737 49.2280240201879,16.5306657256157 49.2283290030377,16.5305179567197 49.2285120225694,16.5302448602985 49.2287608019466,16.5303387605058 49.2288156391469))","324","10","10"
"LINESTRING ((16.523245364033 49.2283670302544,16.5233678166126 49.2283980450367,16.5236461106906 49.2284652673426,16.5240400479166 49.228557135838,16.5252312370073 49.2287840122302,16.5256876704322 49.228866414385,16.5262425776775 49.2289497066309,16.5268837859124 49.229034826128,16.5273704562371 49.2290949596065,16.5277552573634 49.2291381270959,16.5282352309427 49.2291837566463,16.5284226650586 49.2291945358537,16.5285870764946 49.2291984219043,16.5288011375424 49.2291936456912,16.5289913817969 49.2291801103519,16.5290476821479 49.2291746375338,16.5292532456242 49.2291470903413,16.5293868262848 49.2291238041157,16.529650030475 49.2290620225038,16.5299179813583 49.2289800453945,16.5300824175734 49.2289307409916,16.5301632472899 49.2289032304435,16.5302323381517 49.2288748806455,16.5302876326194 49.2288472632555,16.5303387605058 49.2288156391469))","337","10","10"
"LINESTRING ((16.5313429640712 49.2263164804412,16.5312537214885 49.2263124530142,16.5310113052558 49.2262914512576,16.5308442845989 49.2263582292245,16.5304916676896 49.2263067968339,16.5297674831523 49.2261998056837,16.5293040390737 49.2261063061834,16.5285561033992 49.2258065941759,16.5282457162914 49.2256966526016,16.528064300307 49.2256390825498,16.5278938202905 49.225587993226,16.5277703384407 49.225557216893,16.5275791259837 49.2255180686007,16.5274263577701 49.2254979341297,16.5272471280407 49.225489638721,16.5270727982434 49.2254848414843,16.5267779066157 49.2254741709248,16.5267694944867 49.2255436756735,16.526768147505 49.2255550677386,16.5267596167302 49.2255780676141,16.5267536715421 49.2255880452768,16.526743673247 49.2256016228189,16.5267276490504 49.225618206837,16.5262626451202 49.2260429454587,16.5256272455771 49.2266032152036,16.5250779979994 49.22708244196,16.5248933095726 49.2272399280191,16.524757109122 49.2273435309408,16.5241472049272 49.2277730945244,16.5236333169414 49.2281163513343,16.5233574141732 49.2282898339028,16.5233443748423 49.2283009321556,16.5233358903218 49.2283087378937,16.5233027733558 49.2283515985123,16.523291057689 49.2283589016767,16.523245364033 49.2283670302544))","323","80","180"
